Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
28-02-2014,22.21879,18.69306,31.08303,32.18066,22.15227,20.30625,16.06539,5.13893,9.52947,12.97205,12.87227,15.61635,17.36259,14.11958,8.88087,10.27786,9.72904,12.22366,10.07829,5.48818,6.23656,6.88517,6.68560,10.02839
01-03-2014,12.77248,19.62438,21.90281,22.55141,25.49507,20.10668,4.64000,2.84387,4.34065,5.53807,8.48173,10.82667,23.15012,26.89206,20.80517,21.45378,35.42368,24.09808,14.96775,13.12173,6.68560,3.29291,2.74409,4.68990
02-03-2014,14.83470,9.24674,14.51872,21.80302,25.34539,26.49292,33.22841,33.47787,39.06583,52.58670,55.43057,62.36563,60.12046,56.42842,49.74282,46.89895,43.30669,43.85551,42.45852,41.51056,45.45207,48.84476,47.49766,43.55615
03-03-2014,51.28949,58.27444,57.27659,52.08777,51.58885,54.08347,32.48002,12.02409,7.73334,25.79442,35.87271,36.52131,32.08088,32.72948,12.27356,19.25851,18.26066,12.97205,0.59871,0.34925,0.14968,1.14753,1.39699,1.24731
04-03-2014,3.39269,5.45491,3.24301,0.99785,1.24731,0.34925,0.19957,2.19527,6.23656,7.88302,12.37334,,,,,,,,,,,,,
05-03-2014,,,,,,,,,,,,,,,39.21551,42.45852,26.54281,21.05464,11.77463,6.88517,10.32775,13.96990,21.05464,17.76173
06-03-2014,12.10725,20.15657,23.64905,25.14582,29.88561,26.04389,14.96775,9.92861,11.12603,23.44948,35.82282,45.25250,54.23315,60.32003,60.71917,58.57380,54.88175,49.64304,42.70798,36.72088,32.43013,22.20216,18.70969,24.64690
07-03-2014,31.53206,31.46554,23.44948,22.50152,21.60345,36.27185,37.71873,36.47142,28.98754,28.28905,24.09808,26.39313,31.88131,34.52561,27.64045,24.54711,16.16517,17.26281,1.19742,-0.19957,3.29291,13.27141,8.63140,15.06754
08-03-2014,17.76173,18.09435,22.30195,22.85077,22.45163,35.82282,37.81852,32.48002,23.24991,32.77937,31.53206,45.35228,56.97724,71.54585,74.09036,71.79531,62.86455,50.99014,20.10668,13.87012,17.61205,11.32560,14.76818,24.04819
09-03-2014,17.36259,29.60288,29.58625,17.76173,19.60775,16.16517,10.02839,17.81162,13.27141,39.76432,45.30239,55.63014,69.74972,76.83445,82.47230,76.38542,81.17510,66.45681,46.84906,31.68174,14.46883,16.56431,10.67700,9.08044
10-03-2014,20.55571,7.71671,14.36904,2.69420,0.34925,1.24731,2.89377,4.68990,10.07829,17.61205,24.09808,21.95270,23.54926,24.44733,26.44303,20.80517,22.05249,20.30625,20.80517,32.48002,32.87916,31.58195,40.16346,42.50841
11-03-2014,50.89035,52.15429,59.17251,59.62154,59.02283,51.58885,34.82497,15.96560,14.86797,19.05894,18.85937,22.50152,19.80732,19.15872,22.05249,28.48862,31.68174,26.29335,21.90281,3.54237,19.25851,22.20216,17.51227,13.12173
12-03-2014,9.97850,15.36689,13.47098,4.44043,8.23226,7.23441,3.34280,1.89592,2.69420,4.24086,4.98925,9.67915,15.31700,18.60990,26.29335,25.79442,20.55571,10.82667,5.83742,1.39699,0.34925,0.39914,0.19957,0.69850
13-03-2014,0.26609,0.26609,0.29936,0.19957,0.14968,0.29936,0.44903,0.89807,1.99570,5.48818,8.93076,25.44518,32.23056,29.93550,18.46023,24.49722,19.75743,9.03054,3.04344,0.49893,1.24731,0.59871,0.39914,0.09979
14-03-2014,0.00000,0.00000,0.19957,0.14968,0.19957,0.34925,0.59871,1.04774,1.64645,7.38409,33.32819,32.92905,38.11787,38.86626,43.50626,44.30454,40.46282,31.83142,15.91571,10.07829,7.98280,9.92861,5.88732,12.22366
15-03-2014,5.32187,11.37549,14.76818,30.48432,36.52131,29.98539,29.48647,27.69034,31.23271,28.18926,38.61680,33.82712,43.95529,51.88820,52.18756,40.16346,45.80132,36.07228,27.74023,22.85077,18.31055,17.26281,23.44948,15.56646
16-03-2014,27.00847,34.19299,33.72733,32.28045,22.60130,23.00044,20.60560,19.65765,24.89636,34.82497,36.47142,58.87315,59.72132,65.70842,61.21810,62.71487,62.41552,51.38928,35.57335,11.17592,10.32775,10.92646,5.83742,5.58796
17-03-2014,7.98280,15.63298,13.67055,9.57936,8.78108,9.97850,5.38839,5.43828,5.53807,15.16732,22.00259,38.76647,37.66884,38.36733,35.37378,34.57550,31.33249,19.85722,13.27141,9.67915,11.22581,16.16517,9.62925,18.21076
18-03-2014,23.81535,23.88188,26.64260,27.79012,30.93335,30.33464,30.33464,23.69894,24.14797,34.87486,52.13766,50.24175,51.38928,51.13981,44.90325,44.90325,31.18281,35.67314,28.08948,29.78582,22.05249,26.19356,26.79227,23.49937
19-03-2014,28.20589,38.84963,44.55400,43.00734,35.42368,28.98754,21.20431,20.20646,16.51442,18.56001,23.99829,27.24131,39.06583,35.62325,43.20691,41.80992,44.20476,37.26970,31.13292,37.56905,43.70583,43.60605,36.67099,43.00734
20-03-2014,45.63501,46.89895,49.39358,52.98584,53.93379,52.93594,45.55185,35.47357,39.31529,50.59100,53.78412,57.07702,56.37853,60.27014,61.66713,62.01638,58.47401,55.43057,55.18111,49.39358,48.74497,44.65379,60.56950,52.63659
21-03-2014,51.15644,57.01050,60.86885,57.32648,52.98584,34.82497,29.53636,21.55356,29.68604,43.20691,55.33078,59.02283,55.63014,62.01638,61.46756,62.71487,57.27659,53.08562,43.85551,43.85551,47.59745,50.34153,51.83831,50.49121
22-03-2014,59.47186,61.13494,55.33078,56.02928,56.92734,54.78197,49.14411,50.39143,57.77552,61.11831,64.21165,67.30498,69.89939,70.89724,72.09466,68.70197,58.77337,51.13981,40.66239,36.32174,30.03529,29.73593,25.74453,26.29335
23-03-2014,30.06855,31.93120,31.43228,28.98754,29.68604,28.98754,30.53421,34.12647,40.36303,36.82067,38.56690,34.52561,39.26540,44.90325,38.91615,31.58195,29.58625,20.40603,18.21076,23.54926,33.57765,32.87916,23.79872,24.24776
24-03-2014,30.20159,21.55356,32.87916,24.79657,16.21506,-0.24946,1.29721,9.37979,19.30840,35.62325,49.74282,52.33723,50.44132,57.67573,54.28304,56.92734,57.42627,45.35228,35.92260,31.23271,22.80087,29.03744,26.89206,20.95485
25-03-2014,24.87973,36.25522,48.14626,58.57380,61.31788,51.28949,38.31744,17.11313,16.26496,16.56431,14.31915,17.21291,22.00259,20.90496,17.86152,11.92431,19.10883,14.26926,6.28646,11.77463,8.13248,4.78968,4.24086,1.94581
26-03-2014,1.13090,8.78108,13.27141,16.21506,19.50797,19.30840,7.43398,4.64000,11.97420,15.01764,13.57076,24.04819,22.60130,20.95485,22.40173,14.96775,11.77463,7.73334,8.88087,13.52087,2.59441,3.24301,9.72904,8.93076
27-03-2014,9.44631,13.23814,17.66195,13.32130,9.62925,5.93721,3.64215,5.13893,10.32775,15.21721,16.91356,,,25.79442,26.79227,30.38453,30.38453,10.92646,5.53807,9.42968,9.62925,5.08904,4.19097,0.99785
28-03-2014,1.99570,2.19527,2.39484,2.49463,0.89807,0.54882,0.14968,0.29936,1.09764,2.69420,9.57936,20.70539,21.15442,23.29980,19.70754,22.30195,26.44303,20.20646,11.67485,13.87012,7.83312,0.34925,-0.09978,-0.14968
