Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
31-03-2014,18.75958,9.31327,10.07829,10.57721,4.88947,3.49248,4.78968,7.53377,21.45378,33.77722,37.86841,31.68174,28.28905,36.32174,36.22196,30.68389,22.80087,14.21936,11.32560,16.76388,32.08088,34.17636,38.46712,32.08088
01-04-2014,29.73593,44.30454,40.91185,33.82712,16.51442,14.26926,3.94151,11.57506,15.96560,11.52517,20.90496,26.99184,35.57335,38.71658,49.44347,55.48046,40.66239,25.44518,13.67055,14.96775,31.18281,58.52390,50.94024,40.76217
02-04-2014,41.24447,70.38169,81.37467,88.45940,86.86284,86.91274,72.69337,64.56090,62.06627,69.89939,67.20520,59.12261,55.08132,58.02498,55.23100,49.74282,56.52820,61.91659,63.76262,60.71917,62.26584,62.31573,63.31358,59.87100
03-04-2014,58.80663,59.13924,56.82756,55.82971,52.88605,49.24390,45.05293,39.81422,44.80347,52.78627,57.42627,61.56735,53.73422,54.48261,65.00993,60.12046,63.41337,71.64563,72.89294,80.37682,78.97983,68.70197,67.25509,63.01423
04-04-2014,57.74225,59.27229,56.97724,53.93379,55.53035,45.10282,42.80777,39.96389,42.85766,37.51916,27.04174,25.69464,29.48647,27.93980,25.09593,30.78367,44.70368,42.60820,31.48217,14.71829,4.73979,3.79183,2.64430,9.77893
05-04-2014,12.10725,6.12015,14.91786,18.16087,21.30410,24.14797,25.34539,28.08948,35.12432,40.76217,36.27185,28.78797,30.53421,33.32819,35.57335,36.67099,33.22841,34.02669,41.16131,40.81207,40.56260,36.07228,32.57980,29.83572
06-04-2014,31.46554,38.05135,37.02024,42.15916,45.70153,40.26325,37.02024,31.73163,29.73593,28.98754,30.98324,33.92690,37.07013,35.77292,25.54496,24.34754,35.47357,35.22411,36.32174,31.18281,27.74023,23.20001,28.68819,33.57765
07-04-2014,23.01707,51.88820,52.43702,60.61939,60.81896,55.97939,13.72044,22.75098,29.28690,31.13292,30.53421,33.22841,31.33249,33.62755,40.06368,40.96174,36.87056,43.25680,50.79057,62.96434,71.14671,67.35488,39.41508,25.64475
08-04-2014,22.61793,38.38396,55.03143,64.56090,69.55015,65.75832,53.93379,48.74497,62.71487,68.65208,74.83875,78.43101,77.78241,77.78241,80.52650,76.88434,77.18370,74.28993,65.85810,59.92089,52.13766,53.43487,53.98369,50.09207
09-04-2014,37.38611,30.06855,37.91830,46.10067,40.96174,36.17206,37.91830,46.15056,46.94884,50.09207,40.26325,45.55185,44.60390,47.64734,54.68218,63.61294,69.05122,66.30713,58.12476,68.50240,66.55660,57.77552,54.48261,48.04648
10-04-2014,49.95902,40.37966,44.10497,42.00949,37.51916,14.76818,11.32560,18.16087,30.43443,47.24820,52.63659,62.26584,55.13121,51.38928,58.72347,60.27014,63.36348,62.91444,61.46756,52.73637,39.76432,51.88820,60.61939,64.31143
11-04-2014,63.72935,54.61566,49.84261,44.85336,51.33938,47.84691,48.94454,62.31573,65.20950,70.59789,75.78671,74.24004,74.48950,75.43746,75.13811,72.39402,52.73637,57.52605,65.60864,66.10756,58.17466,44.35443,35.62325,16.76388
12-04-2014,18.56001,29.07070,21.60345,28.33894,27.44088,19.45808,19.65765,20.50582,29.53636,33.22841,35.32389,44.50411,45.05293,59.22240,62.01638,68.25294,61.96649,51.63874,51.04003,56.82756,65.70842,66.65638,61.71702,53.03573
13-04-2014,48.36246,40.11357,50.09207,52.73637,44.45422,37.56905,46.05078,57.22670,72.84305,79.72822,79.47875,81.22499,84.16865,87.16220,80.62628,78.63058,82.32263,76.33553,65.05982,58.57380,71.64563,81.77381,83.12091,77.38327
14-04-2014,79.36234,76.70140,73.59144,71.14671,68.65208,69.40047,69.05122,72.04477,76.58499,79.37897,80.97553,82.32263,82.02327,80.27703,79.37897,75.63703,76.43531,73.29208,69.15101,65.95789,54.18326,52.18756,44.05508,40.16346
15-04-2014,46.56633,50.22512,40.56260,40.16346,23.89851,6.08689,8.18237,27.74023,,,61.71702,69.55015,72.29423,72.44391,73.44176,68.90154,69.50025,70.19875,66.75617,43.60605,54.78197,63.61294,62.76477,57.27659
16-04-2014,68.45251,61.53408,55.13121,55.87960,37.41938,20.55571,29.83572,42.80777,56.47831,62.86455,62.11616,69.25079,66.10756,64.56090,66.50670,65.65853,59.02283,56.97724,46.00089,44.70368,41.41078,40.31314,46.44992,46.40003
17-04-2014,43.50626,44.50411,38.11787,34.17636,29.43658,16.81377,28.28905,39.21551,45.80132,52.48691,44.00519,43.25680,45.75142,55.72992,70.79746,71.59574,73.04262,70.94714,64.06197,64.36133,74.98843,73.14241,74.04047,72.09466
