Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
23-02-2014,68.65208,67.78728,69.84950,69.30068,68.85165,71.14671,72.99273,75.38757,73.04262,72.34413,68.65208,68.90154,70.54800,68.60219,70.09896,71.74542,71.04692,71.59574,68.70197,66.10756,69.20090,72.24434,74.78886,73.94069
24-02-2014,74.24004,70.04907,71.59574,72.19445,71.24649,72.19445,71.84520,68.75187,56.67788,47.74712,60.51960,64.51100,68.35273,68.25294,69.45036,66.15746,59.67143,60.41982,51.28949,52.78627,59.47186,69.79961,69.10111,73.44176
25-02-2014,72.51043,70.78083,69.60004,71.79531,77.03402,73.34198,67.65423,64.31143,61.06842,67.15531,65.35918,65.20950,68.80176,66.20735,66.65638,64.96004,61.26799,56.67788,43.45637,50.69078,51.58885,49.34368,43.20691,53.53465
26-02-2014,42.04275,59.13924,61.76692,65.35918,62.76477,59.02283,57.22670,47.34798,47.89680,58.42412,61.76692,59.52175,60.07057,59.62154,58.37423,60.91874,62.56520,58.57380,54.68218,53.23530,46.89895,58.97294,63.01423,66.85595
27-02-2014,65.59201,61.06842,65.80821,66.60649,67.00563,75.93639,74.63918,70.94714,64.61079,69.69982,71.49595,70.54800,72.84305,74.28993,73.04262,71.29638,64.11186,47.19831,46.00089,41.85981,54.08347,55.18111,46.99874,45.95099
28-02-2014,50.35816,44.17149,44.40433,38.01809,29.93550,24.69679,15.96560,6.03699,4.78968,9.62925,18.80947,23.79872,41.36088,59.62154,66.90584,66.80606,63.81251,53.33508,21.80302,5.48818,4.78968,13.57076,16.81377,31.43228
01-03-2014,26.40976,43.50626,41.95959,33.87701,34.32604,29.28690,14.46883,6.68560,8.93076,11.12603,24.79657,33.82712,53.23530,67.15531,65.10971,58.07487,47.34798,38.16776,29.18711,41.71013,44.85336,49.09422,50.04218,52.43702
02-03-2014,54.08347,54.48261,51.98799,51.63874,60.27014,56.32863,44.65379,46.35013,41.01164,54.43272,57.52605,58.97294,60.81896,57.32648,56.37853,57.82541,61.46756,60.71917,60.81896,57.02713,46.35013,47.09852,52.13766,56.92734
03-03-2014,62.66498,55.41394,66.50670,58.32433,58.37423,51.38928,32.57980,20.40603,24.74668,35.02454,51.78842,54.53250,62.61509,50.64089,72.49380,76.08606,74.78886,63.56305,50.69078,26.29335,27.39098,41.06153,47.44777,59.12261
04-03-2014,58.60706,62.53193,65.15961,70.09896,66.10756,64.36133,56.87745,48.84476,41.01164,53.43487,63.21380,70.14886,70.94714,68.50240,69.94929,65.60864,61.66713,57.17681,33.27830,17.46238,18.51012,11.82452,18.60990,33.42798
