Date,All_Causes,Diabetes,Ozone,Temperature
2014-04-15,1240,12,54.22980880667305,8.866666666666667
2014-04-16,1286,9,55.69026097222221,9.433333333333335
2014-04-17,1259,13,61.57849569444445,11.100000000000001
2014-04-18,1279,7,70.16205000000001,7.733333333333334
2014-04-19,1313,12,70.80383097222223,7.333333333333333
2014-04-20,1314,16,79.918265,9.633333333333335
2014-04-21,1281,22,72.52162319444444,12.133333333333335
2014-04-22,1317,18,55.779192638888894,11.9
2014-04-23,1308,13,60.216595833333336,11.433333333333335
2014-04-24,1267,7,55.84615263888889,10.933333333333335
2014-04-25,1304,15,41.47046958333334,11.0
2014-04-26,1328,14,56.01883083333335,10.9
2014-04-27,1222,10,57.64548124999999,11.6
2014-04-28,1260,15,60.46242291666667,11.266666666666666
2014-04-29,1352,10,56.031890833333335,12.366666666666667
2014-04-30,1220,13,61.97782041666667,12.933333333333335
2014-01-05,1248,18,51.024611500399196,11.600000000000001
2014-02-05,1276,12,58.22962361191896,9.766666666666667
2014-03-05,1221,6,27.421820416666666,7.333333333333333
2014-04-05,1253,13,42.09283861111111,9.966666666666667
2014-05-05,1228,15,82.67871944444444,11.666666666666666
2014-06-05,1339,13,43.7679451388889,13.166666666666666
2014-07-05,1238,8,36.33745916666667,12.299999999999999
2014-08-05,1263,16,38.405075831664895,12.0
2014-09-05,1284,16,47.281589999999994,11.933333333333332
2014-10-05,1174,18,31.277183888888896,12.433333333333332
2014-11-05,1226,14,32.26739277777778,11.666666666666666
2014-12-05,1174,14,35.24487111111111,11.566666666666668
2014-05-13,1219,18,51.452087777777784,10.5
2014-05-14,1184,10,56.67781638888889,11.666666666666666
2014-05-15,1204,7,43.62301125000001,12.633333333333335
2014-05-16,1294,14,49.784970972222226,12.5
2014-05-17,1191,16,62.23947402777778,14.366666666666667
2014-05-18,1245,12,79.36491513888889,14.600000000000001
2014-05-19,1300,19,68.2395925,15.966666666666667
2014-05-20,1217,12,54.64165776494508,15.466666666666667
2014-05-21,1183,12,52.142103861510314,13.233333333333334
2014-05-22,1231,15,59.16641692989855,13.166666666666666
